brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price
Sony,Android,12.7,no,no,5.0,2.0,32.0,4.0,2300.0,144.0,2015,682,119.52
HTC,Android,12.75,yes,no,20.2,13.0,32.0,4.0,2700.0,161.0,2015,574,299.27
Sony,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2370.0,151.0,2013,558,259.51
Samsung,Android,15.32,yes,no,12.0,8.0,64.0,4.0,5000.0,186.0,2019,302,220.09
Apple,iOS,18.01,yes,no,8.0,1.2,16.0,2.0,5124.0,299.0,2015,827,362.06
Alcatel,Android,7.75,no,no,2.0,0.3,512.0,0.25,1300.0,118.0,2013,858,51.16
Huawei,Android,7.75,no,no,3.15,0.3,16.0,4.0,1975.0,150.0,2013,634,50.65
Oppo,Android,10.29,no,no,5.0,2.0,16.0,4.0,1900.0,128.0,2014,804,130.38
Asus,Android,15.24,no,no,13.0,2.0,16.0,4.0,3300.0,196.0,2014,665,252.29
Oppo,Android,12.83,yes,no,13.0,8.0,32.0,4.0,3070.0,155.0,2015,738,260.12
BlackBerry,Others,7.65,yes,no,8.0,2.0,64.0,4.0,2100.0,140.0,2014,617,430.09
Honor,Android,15.32,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,200.32
Others,Windows,12.7,no,no,8.0,2.0,32.0,4.0,2200.0,139.0,2014,637,148.95
Asus,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2400.0,145.0,2014,956,510.6
Samsung,Android,10.16,no,no,3.15,5.0,16.0,4.0,1500.0,123.0,2015,551,68.42
Oppo,Android,15.24,yes,no,16.0,18.0,64.0,4.0,4000.0,185.0,2017,863,478.93
Microsoft,Windows,10.16,no,no,2.0,0.3,32.0,4.0,1560.0,134.1,2015,670,70.94
HTC,Android,12.83,yes,no,20.0,13.0,32.0,4.0,2800.0,150.0,2015,795,320.54
Xiaomi,Android,16.69,yes,yes,,16.0,64.0,6.0,4160.0,192.0,2020,156,296.64
Sony,Android,12.7,yes,no,19.0,5.0,64.0,4.0,2870.0,168.0,2018,703,471.32
LG,Android,12.83,yes,no,12.3,8.0,32.0,4.0,3000.0,150.0,2016,1015,240.14
Motorola,Android,10.24,yes,no,10.0,2.0,16.0,4.0,2000.0,130.0,2013,1044,180.57
Spice,Android,10.16,no,no,5.0,1.3,16.0,4.0,2100.0,100.0,2013,1020,69.79
Motorola,Android,12.88,yes,no,13.0,5.0,16.0,4.0,4000.0,174.0,2018,426,150.0
Huawei,Android,16.59,yes,no,13.0,16.0,128.0,8.0,4500.0,198.0,2019,350,917.15
Others,Android,30.56,no,no,8.0,2.0,32.0,4.0,2500.0,850.0,2015,652,490.18
Vivo,Android,15.24,yes,no,8.0,5.0,16.0,4.0,3360.0,150.0,2018,589,119.84
Lenovo,Android,12.83,no,no,5.0,0.3,16.0,4.0,2250.0,184.0,2013,582,149.48
Others,Android,15.24,yes,no,13.0,8.0,16.0,4.0,2500.0,207.0,2016,724,191.0
Huawei,Android,15.27,no,no,8.0,1.0,32.0,4.0,4050.0,198.0,2013,949,231.53
Samsung,Android,12.7,yes,no,8.0,5.0,16.0,4.0,2600.0,152.0,2018,452,150.44
Samsung,Android,15.42,yes,no,8.0,10.0,256.0,8.0,3300.0,183.0,2020,355,918.0
Others,Android,12.7,yes,no,16.0,8.0,16.0,4.0,3200.0,145.0,2016,546,299.16
Lenovo,Android,17.78,yes,no,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,100.16
Karbonn,Android,12.83,no,no,13.0,5.0,16.0,4.0,2000.0,134.0,2014,1030,196.98
ZTE,Android,12.83,yes,no,13.0,16.0,64.0,4.0,3200.0,168.0,2017,641,249.94
Acer,Android,20.32,no,no,5.0,2.0,16.0,4.0,4600.0,360.0,2014,611,199.49
Meizu,Android,15.37,yes,no,13.0,20.0,256.0,4.0,3570.0,182.0,2018,513,481.42
Asus,Android,17.78,no,no,8.0,2.0,16.0,4.0,3500.0,272.0,2015,885,159.43
HTC,Android,12.83,yes,no,13.0,8.0,16.0,4.0,2600.0,155.0,2014,761,258.81
Alcatel,Others,5.18,yes,no,2.0,5.0,4.0,0.5,3230.0,90.0,2019,356,50.35
XOLO,Android,12.7,no,no,8.0,2.0,32.0,4.0,2100.0,,2015,878,59.21
Vivo,Android,15.9,yes,no,13.0,24.0,64.0,4.0,3260.0,149.3,2018,667,300.19
Samsung,Android,12.73,no,no,16.0,2.0,16.0,4.0,2800.0,145.0,2014,589,378.1
Samsung,Android,15.29,yes,no,12.0,8.0,32.0,2.0,4000.0,168.0,2019,497,101.99
Others,Android,12.7,no,no,8.0,5.0,32.0,4.0,2500.0,135.0,2015,547,179.92
Samsung,Android,7.82,yes,no,8.0,2.0,32.0,4.0,1800.0,155.0,2015,940,259.35
Huawei,Android,10.29,no,no,5.0,0.3,16.0,4.0,1700.0,150.0,2013,927,101.72
LG,Android,15.34,yes,no,8.0,13.0,128.0,4.0,4000.0,183.0,2019,369,951.52
Gionee,Android,12.7,no,no,8.0,5.0,16.0,4.0,4000.0,167.6,2016,941,119.79
Vivo,Android,16.21,yes,no,13.0,32.0,128.0,6.0,4500.0,179.0,2019,224,280.31
Samsung,Android,15.32,yes,no,12.0,10.0,256.0,8.0,3500.0,168.0,2019,429,518.5
Apple,iOS,23.04,yes,no,8.0,1.2,32.0,4.0,5493.0,469.0,2018,673,350.4
XOLO,Android,10.29,no,no,5.0,0.3,16.0,4.0,2400.0,151.3,2013,824,100.16
Xiaomi,Android,12.88,yes,no,22.5,8.0,64.0,4.0,4070.0,166.0,2016,726,310.48
Samsung,Android,12.73,yes,no,12.0,8.0,64.0,4.0,4500.0,256.0,2019,320,1020.04
Samsung,Android,15.24,yes,no,8.0,2.1,16.0,4.0,2800.0,194.0,2014,893,339.81
